ident;iso_country;iata_code
NTGA;PF;AAA
YARY;AU;AAB
HEAR;EG;AAC
AAD;SO;AAD
DABB;DZ;AAE
KAAF;US;AAF
SSYA;BR;AAG
EDKA;DE;AAH
SWRA;BR;AAI
SR-AAJ;SR;AAJ
NGUK;KI;AAK
EKYT;DK;AAL
FAMD;ZA;AAM
OMAL;AE;AAN
SVAN;VE;AAO
URKA;RU;AAQ
EKAH;DK;AAR
ID-AAS;ID;AAS
CN-0113;CN;AAT
NSAU;WS;AAU
RPMA;PH;AAV
SBAX;BR;AAX
OYGD;YE;AAY
MGQZ;GT;AAZ
UNAA;RU;ABA
DNAS;NG;ABB
LEAB;ES;ABC
OIAA;IR;ABD
KABE;US;ABE
NGAB;KI;ABF
YABI;AU;ABG
YAPH;AU;ABH
KABI;US;ABI
DIAP;CI;ABJ
HAKD;ET;ABK
PAFM;US;ABL
YBAM;AU;ABM
SMBN;SR;ABN
DIAO;CI;ABO
ABP;PG;ABP
KABQ;US;ABQ
KABR;US;ABR
HEBL;EG;ABS
OEBA;SA;ABT
WRKA;ID;ABU
DNAA;NG;ABV
YMAY;AU;ABX
KABY;US;ABY
EGPD;GB;ABZ
MMAA;MX;ACA
KACB;US;ACB
DGAA;GH;ACC
SKAD;CO;ACD
GCRR;ES;ACE
YBAF;AU;ACF
LSZR;CH;ACH
EGJA;GG;ACI
VCCA;LK;ACJ
KACK;US;ACK
SK-048;CO;ACL
SK-001;CO;ACM
MMCC;MX;ACN
OITM;IR;ACP
SKAC;CO;ACR
UNKS;RU;ACS
KACT;US;ACT
PA-0001;PA;ACU
KACV;US;ACV
ZUYI;CN;ACX
KACY;US;ACY
OIZB;IR;ACZ
LTAF;TR;ADA
LTBJ;TR;ADB
ADC;PG;ADC
HAAB;ET;ADD
OYAA;YE;ADE
LTCP;TR;ADF
KADG;US;ADG
UEEA;RU;ADH
FYAR;NA;ADI
OJAM;JO;ADJ
PADK;US;ADK
YPAD;AU;ADL
KADM;US;ADM
SKAN;CO;ADN
YAMK;AU;ADO
VCCG;LK;ADP
PADQ;US;ADQ
KPHH;US;ADR
KADS;US;ADS
KADH;US;ADT
OITL;IR;ADU
ADV;SD;ADV
KADW;US;ADW
EGQL;GB;ADX
FAAL;ZA;ADY
SKSP;CO;ADZ
NGTB;KI;AEA
CN-0082;CN;AEB
AEE;SS;AEE
WIME;ID;AEG
FTTC;TD;AEH
AEK;PG;AEK
KAEL;US;AEL
UHTG;RU;AEM
GQNA;MR;AEO
SABE;AR;AEP
AEQ;CN;AEQ
URSS;RU;AER
ENAL;NO;AES
PFAL;US;AET
OIBA;IR;AEU
KAEX;US;AEX
BIAR;IS;AEY
SAMR;AR;AFA
FAPA;ZA;AFD
KAFF;US;AFF
SKAM;CO;AFI
AFK;LK;AFK
SBAT;BR;AFL
KAFN;US;AFN
KAFO;US;AFO
AFR;PG;AFR
UTSN;UZ;AFS
AGAF;SB;AFT
KAFW;US;AFW
LTAH;TR;AFY
OIMS;IR;AFZ
GMAD;MA;AGA
EDMA;DE;AGB
KAGC;US;AGC
ID-AGD;ID;AGD
EDWG;DE;AGE
LFBA;FR;AGF
AGG;PG;AGG
ESTA;SE;AGH
SMWA;SR;AGI
RORA;JP;AGJ
AGK;PG;AGK
AGL;PG;AGL
PAGN;US;AGN
KAGO;US;AGO
LEMG;ES;AGP
VIAG;IN;AGR
KAGS;US;AGS
SGES;PY;AGT
MMAS;MX;AGU
SVAC;VE;AGV
AU-AGW;AU;AGW
VOAT;IN;AGX
AGY;AU;AGY
FAAG;ZA;AGZ
OEAB;SA;AHB
KAHC;US;AHC
K1F0;US;AHD
NTHE;PF;AHE
K37V;US;AHF
KAHH;US;AHH
WAPA;ID;AHI
AHJ;CN;AHJ
SYAH;GY;AHL
KS03;US;AHM
KAHN;US;AHN
LIEA;IT;AHO
MHAH;HN;AHS
GMTA;MA;AHU
AHY;MG;AHY
LFHU;FR;AHZ
KAIA;US;AIA
AIP;MH;AIC
KAID;US;AID
AIE;PG;AIE
SNAX;BR;AIF
FEFY;CF;AIG
AIH;PG;AIH
