AIRLINE_NAME;IATA_DESIGNATOR;DIGIT_CODE
ABX Air;GB;832
Aegean Airlines;A3;390
Aer Lingus;EI;53
Aero Republica;P5;845
Aeroflot;SU;555
Aerolineas Argentinas;AR;44
Aeromar;VW;942
Aeromexico;AM;139
Africa World Airlines;AW;394
Afrijet;J7;277
Air Algérie;AH;124
Air Arabia;G9;514
Air Astana;KC;465
Air Austral;UU;760
Air Baltic;BT;657
Air Botswana;BP;636
Air Burkina;2J;226
Air Cairo;SM;381
Air Caledonie;TY;190
Air Canada;AC;14
Air Caraibes;TX;427
Air Changan;9H;856
Air China;CA;999
Air Corsica;XK;146
Air Dolomiti;EN;101
Air Europa;UX;996
Air France;AF;57
Air Guilin;GT;730
Air India;AI;98
Air Koryo;JS;120
Air Macau;NX;675
Air Madagascar;MD;258
Air Malta;KM;643
Air Mauritius;MK;239
Air Moldova;9U;572
Air New Zealand;NZ;86
Air Niugini;PX;656
Air Nostrum;YW;694
Air Peace;P4;710
Air Serbia;JU;115
Air Seychelles;HM;61
Air Tahiti;VT;135
Air Tahiti Nui;TN;244
Air Tanzania;TC;197
Air Transat;TS;649
Air Vanuatu;NF;218
AirBridgeCargo Airlines;RU;580
Aircalin;SB;63
Airlink;4Z;749
Alaska Airlines;AS;27
Albastar;AP;374
Allied Air;4W;574
AlMasria Universal Airlines;UJ;110
Amapola Flyg;HP;
Amelia;8R;948
American Airlines;AA;1
ANA;NH;205
APG Airlines;GP;275
Arkia Israeli Airlines;IZ;238
Asiana Airlines;OZ;988
ASKY;KP;32
ASL Airlines Belgium;3V;756
ASL Airlines France;5O;558
Atlantic Airways;RC;767
Atlas Air;5Y;369
Austrian;OS;257
Avianca;AV;134
Avianca Costa Rica;LR;133
Avianca Ecuador;2K;547
Azerbaijan Airlines;J2;771
Azores Airlines;S4;331
Azul Brazilian Airlines;AD;577
Badr Airlines;J4;367
Bahamasair;UP;111
Bamboo Airways;QH;926
Bangkok Airways;PG;829
Batik Air;ID;938
Batik Air Malaysia;OD;816
Belavia Belarusian Airlines;B2;
Biman Bangladesh Airlines;BG;997
Binter Canarias;NT;474
BoA Boliviana de Aviacion;OB;930
Braathens Regional Airways;TF;276
British Airways;BA;125
Brussels Airlines;SN;82
Bulgaria Air;FB;623
Camair-Co;QC;40
Cambodia Angkor Air;K6;188
Capital Airlines;JD;898
Cargojet Airways;W8;489
Cargolux;CV;172
Caribbean Airlines;BW;106
Carpatair;V3;21
Cathay Pacific;CX;160
Cebu Pacific;5J;203
Challenge Airlines (BE);X7;744
Challenge Airlines (IL);5C;700
China Airlines;CI;297
China Cargo Airlines;CK;112
China Eastern;MU;781
China Express Airlines;G5;987
China Postal Airlines;CF;804
China Southern Airlines;CZ;784
CityJet;WX;689
Condor;DE;881
